"name","symbol","Q4_market_value_mil","Q4_revenue_mil","Q4_profit_mil","Q4_asset_mil","Q4_Stock"
"Adobe","ADBE",44192.25,4401.5,1189,6791.25,536.99
"Advanced Micro Devices","AMD",39434.5,5900.25,330,16895,103.37
"Airbnb","ABNB",19920.5,2099.75,473.25,4009.5,123.01
"Alphabet","GOOG",332550.25,70709,14993,91316,134.57
"Alphabet","GOOGL",332550.25,70709,14993,91316,133.4
"Amazon","AMZN",264610,128495.75,680.5,115668.75,129.43
"Analog Devices","ADI",24941,3003.5,687.25,12575.5,168.09
"Apple","AAPL",652259.75,98582,24950.75,88188.75,174.84
"Applied Materials","AMAT",25951.5,6446.25,1631.25,6681.5,137.48
"Block","SQ",10332.25,4383,135.25,7841,43.51
"Booking Holdings","BKNG",24964.75,4272.5,764.5,6340.25,2907.82
"Booz Allen Hamilton Holding","BAH",3065.25,2091,116.75,1506.5,121.74
"Broadcom","AVGO",66868.25,8300.75,2873.75,18312.25,858.54
"CDW","CDW",6584.25,5937.25,278.75,3283,204.12
"Chewy","CHWY",3989.75,2524.75,12.25,628.75,18.17
"Cognizant Technology Solutions","CTSH",7757.75,4857,572.5,4463,65.98
"Corning","GLW",7472.5,3547.25,329,7374.75,28.07
"Coupang","CPNG",7097,5145.75,23,2378.25,17.29
"DXC Technology","DXC",1455,4066.25,179.5,5034.75,20.98
"Dell Technologies","DELL",7350.5,25575.25,610.5,22402.75,67.29
"Expedia Group","EXPE",3719.75,2916.75,88,5390.25,98.6
"Fidelity National Information Services","FIS",8040,3632,4180,15819.5,51.45
"Fiserv",NA,17749.25,4434.25,632.5,20967.25,NA
"Global Payments","GPN",6940.25,2244,28,11202.25,111.55
"HP","HPQ",7229.75,15745.75,800.75,9646.75,26.37
"Hewlett Packard Enterprise","HPE",5160.75,7124,217,14280.75,16.21
"Honeywell International","HON",31923.75,8866.5,1241.5,15568.75,182.95
"IBM","IBM",29728.25,15132.5,409.75,31810.75,141.31
"Insight Enterprises","NSIT",1208.25,2607.75,70.25,1278.25,144.9
"Intel","INTC",34067,15763.5,2003.5,45525.75,35.79
"Intuit","INTU",31269,3181.5,516.5,6933.5,513.73
"Jabil","JBL",2937.5,8369.5,249,4929.25,129.17
"KLA","KLAC",13819.25,2303,830.5,3149.25,471.88
"Kyndryl Holdings","KD",839.5,4579.25,513.5,3360.5,14.87
"Lam Research","LRCX",17883,4306.75,1151.25,4299,619.05
"Leidos Holdings","LDOS",3157.5,3599,171.25,3267.75,94.38
"Mastercard","MA",86604.5,5559.25,2482.5,9681,388.6
"Meta Platforms",NA,137371,29152.25,5800,46431.75,NA
"Micron Technology","MU",16509,7689.5,2171.75,16570.75,68.38
"Microsoft","MSFT",536512.25,49567.5,18184.5,91210,331.36
"NCR","NCR",826,1961,15,2876.75,17.86
"Nvidia","NVDA",171523,6743.5,1092,10295.5,436.32
"ON Semiconductor","ON",8890,2081.5,475.5,2994.75,84.1
"Opendoor Technologies","OPEN",282.75,3891.75,338.25,1652,2.32
"Oracle","ORCL",62716.5,10610,1679.25,27324.25,106.21
"PayPal Holdings","PYPL",21479.25,6879.5,604.75,19679.25,55.23
"Qualcomm","QCOM",35563,11050,3234,12253.5,110.41
"Qurate Retail","QRTEA",101.5,3026.5,648.5,3142.75,0.49
"Rockwell Automation","ROK",8420.75,1940,233,2689.75,277.43
"S&P Global","SPGI",28266.5,2795.25,812,15446,359.73
"Salesforce","CRM",49945,7838,52,24712.25,203.88
"Sanmina","SANM",889.75,1972.75,64,1215,52.27
"Science Applications International","SAIC",1467.75,1926,75,1385.75,109.69
"ServiceNow",NA,23584.5,1811.25,81.25,3324.75,NA
"Texas Instruments","TXN",42193.75,5007,2187.25,6801.75,150.85
"Uber Technologies","UBER",15960,7969.25,2285.25,8027.25,44.28
"VMware","VMW",13374,3337.5,328.5,7809.25,159.28
"Visa","V",118826.75,7327.5,3739.25,21375.25,235.36
"Wayfair","W",949,3054.5,332.75,895,48.38
"Western Digital","WDC",3007.25,4698.25,375,6564.75,43.59
"Whirlpool","WHR",1799.25,4931,379.75,4281,121.29
"eBay","EBAY",5955.25,2448.75,317.25,5212.5,41.23
